fakhouz	famly   	foulad
6867.00	2368.00	2553.00
6861.00	2305.00	2553.00
6801.00	2300.00	2553.00
6792.00	2298.00	2553.00
6773.00	2295.00	2554.00
6764.00	2287.00	2557.00
6758.00	2283.00	2569.00
6748.00	2283.00	2573.00
6797.00	2372.00	2669.00
6793.00	2460.00	2674.00
6766.00	2556.00	2664.00
6744.00	2653.00	2655.00
6719.00	2672.00	2654.00
6688.00	2759.00	2650.00
6673.00	2792.00	2645.00
6666.00	2856.00	2630.00
6662.00	2950.00	2627.00
6631.00	2969.00	2618.00
6614.00	2989.00	2612.00
6615.00	2952.00	2605.00
6631.00	2916.00	2600.00
6646.00	2901.00	2592.00
6655.00	2885.00	2589.00
6667.00	2856.00	2585.00
6653.00	2819.00	2574.00
6648.00	2798.00	2564.00
6643.00	2770.00	2553.00
6637.00	2760.00	2535.00
6625.00	2746.00	2505.00
6614.00	2741.00	2489.00
6609.00	2778.00	2490.00
6604.00	2808.00	2488.00
6593.00	2711.00	2467.00
6584.00	2639.00	2418.00
6542.00	2639.00	2335.00
6515.00	2639.00	2254.00
6468.00	2639.00	2324.00
6441.00	2321.00	2317.00
6416.00	2321.00	2306.00
6358.00	2321.00	2343.00
6315.00	2321.00	2334.00
6312.00	2321.00	2327.00
6304.00	2321.00	2295.00
6281.00	2321.00	2289.00
6260.00	2321.00	2244.00
6240.00	2321.00	2201.00
6221.00	2244.00	2195.00
6212.00	2242.00	2192.00
6195.00	2154.00	2188.00
6172.00	2161.00	2189.00
6163.00	2158.00	2187.00
6149.00	2154.00	2181.00
6121.00	2148.00	2182.00
6091.00	2135.00	2191.00
6067.00	2123.00	2191.00
6064.00	2117.00	2190.00
6061.00	2112.00	2189.00
6060.00	2105.00	2188.00
6059.00	2101.00	2188.00
6059.00	2020.00	2186.00
5994.00	1979.00	2184.00
5971.00	1951.00	2149.00
5948.00	1925.00	2138.00
5934.00	1932.00	2138.00
5928.00	1901.00	2135.00
5928.00	1893.00	2133.00
5927.00	1862.00	2125.00
5923.00	1852.00	2117.00
5849.00	1851.00	2109.00
5849.00	1850.00	2104.00
5849.00	1848.00	2100.00
5849.00	1847.00	2094.00
5849.00	1845.00	2089.00
